UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
123396,2188400,21884,Sierra Valley College of Court Reporting,Fresno,CA,www.sierravalleycollege.edu,sierravalleycollege.edu,11
123448,177212,1772,Trinity Law School,Santa Ana,CA,www.tls.edu,www.tls.edu/admissions/financial-aid/costs.dot,11
123457,129100,1291,Simpson University,Redding,CA,www.simpsonu.edu,tcc.noellevitz.com/(S(i54tbognlq54ib4uxvlamtda))/Simpson-University-CA/Freshman-Students,13
123484,118700,1187,College of the Siskiyous,Weed,CA,www.siskiyous.edu,www.siskiyous.edu/financialaid/netpricecalculator/npcalc.htm,33
123493,950900,9509,Charles A Jones Career and Education Center,Sacramento,CA,www.caj.scusd.edu,video.www.caj.scusd.edu/AdultEducation/Program/Documents/npcalc.htm,11
123509,771300,7713,Skyline College,San Bruno,CA,skylinecollege.edu,webprod.cccco.edu/npc/373/npcalc.htm,21
123527,127200,1272,San Bernardino Valley College,San Bernardino,CA,www.valleycollege.edu,webprod.cccco.edu/npc/982/npcalc.htm,12
123554,130200,1302,Saint Mary's College of California,Moraga,CA,www.stmarys-ca.edu,www.stmarys-ca.edu/admissions-aid/net-price-calculator,41
123563,129200,1292,Solano Community College,Fairfield,CA,www.solano.edu,webprod.cccco.edu/npc/281/npcalc.htm,22
123572,115600,1156,Sonoma State University,Rohnert Park,CA,www.sonoma.edu,www.csumentor.edu/finaid/pais/,21
123581,2608900,26089,Pinnacle College,Alhambra,CA,www.pinnaclecollege.edu,pinnaclecollege.edu/admissions-home/net-price-calculator.html,21
12358101,2608901,26089,Pinnacle College-Sacramento,Rancho Cordova,CA,http://www.pinnaclecollege.edu,NULL,NULL
123633,2597300,25973,South Baylo University,Anaheim,CA,WWW.SOUTHBAYLO.EDU,www.southbaylo.edu,11
123642,2277400,22774,South Coast College,Orange,CA,SOUTHCOASTCOLLEGE.COM,southcoastcollege.com/cost/index.htm,12
123651,129300,1293,Vanguard University of Southern California,Costa Mesa,CA,www.vanguard.edu,undergraduate.vanguard.edu/net-price-calculator,12
123679,807100,8071,Concorde Career College-Garden Grove,Garden Grove,CA,www.concorde.edu,www.concorde.edu/,21
